RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Pete Nance,Mil,*,F,25.7,1,4.3,50.4,0.0,0,0.0,2,1.0,3,0.667,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,11.0,10.0,11.0,0.0,246.0,121.6
,Wendell Moore Jr.,Det,*,G,24.2,2,14.1,5.8,0.0,0,0.0,3,1.0,1,0.0,0.75,0.75,3.0,1.0,1.5,0.5,0.5,0.0,4.0,4.5,5.5,4.7,173.1,115.6
,Daeqwon Plowden,Sac,*,G-F,27.2,1,14.0,15.0,0.0,0,0.0,2,0.5,3,0.0,0.2,0.2,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,72.1,131.2
,Doug McDermott,Sac,*,F,33.9,1,7.8,21.5,25.0,0,0.0,0,0.0,3,0.667,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,0.0,109.6,117.4
,Jordan Miller,Lac,*,G,25.8,2,18.9,20.7,13.0,6,0.833,5,0.4,8,0.625,0.731,0.767,12.0,3.0,0.5,0.5,0.0,1.0,15.0,12.5,15.5,5.5,138.5,119.0
,Garrett Temple,Tor,*,G-F,39.5,2,3.1,6.9,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Jamal Cain,Orl,*,F,26.7,1,0.5,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Antonio Reeves,Cha,*,G,23.0,2,10.6,11.8,0.0,0,0.0,1,0.0,5,0.6,0.75,0.75,4.5,1.0,0.0,0.0,0.0,0.0,5.5,4.5,5.5,0.0,153.1,121.5
,Zach Edey,Mem,*,C,23.5,1,24.7,20.0,12.0,9,0.778,6,0.5,1,0.0,0.429,0.593,13.0,7.0,0.0,2.0,2.0,1.0,20.0,13.0,20.0,0.0,122.5,98.4
,Adou Thiero,Lal,*,G,21.5,1,4.7,17.2,0.0,2,1.0,1,1.0,0,0.0,1.0,1.064,4.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,0.0,237.0,124.3
