RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Khaman Maluach,Pho,*,C,19.2,7,5.0,18.7,40.4,8,0.875,4,0.75,3,0.0,0.429,0.618,1.9,0.9,0.1,0.0,0.6,0.7,2.7,2.0,2.9,4.4,91.8,94.8
,Julian Phillips,Chi,*,F,22.0,10,6.0,11.1,6.3,0,0.0,8,0.375,7,0.143,0.3,0.3,0.9,0.7,0.1,0.4,0.2,0.1,1.6,1.0,1.7,2.7,84.9,112.1
,Jase Richardson,Orl,*,G,20.1,7,4.2,12.5,36.5,2,0.5,2,0.5,3,0.0,0.2,0.255,0.4,0.1,0.9,0.0,0.0,0.4,0.6,1.3,1.4,3.1,68.2,116.9
,Jacob Toppin,Atl,*,F,25.5,3,3.1,18.3,0.0,0,0.0,4,0.75,0,0.0,0.75,0.75,2.0,0.7,0.0,0.0,0.0,0.0,2.7,2.0,2.7,0.0,0.0,0.0
,Caleb Houstan,Atl,*,G,22.9,5,6.4,16.3,26.2,3,1.0,2,0.5,6,0.5,0.688,0.751,2.8,0.6,0.4,0.2,0.2,0.6,3.4,3.2,3.8,5.5,123.6,108.3
,Mason Plumlee,Cha,*,F-C,35.7,6,5.1,7.9,47.4,4,0.5,2,1.0,0,0.0,1.0,0.798,1.0,0.8,0.3,0.0,0.0,0.3,1.8,1.3,2.2,4.9,112.8,121.0
,James Wiseman,Ind,*,C,24.6,1,19.9,12.2,50.0,0,0.0,3,0.667,0,0.0,0.667,0.667,4.0,4.0,0.0,0.0,1.0,3.0,8.0,4.0,8.0,0.0,85.3,117.4
,RayJ Dennis,Ind,*,G,24.6,11,14.7,22.0,16.6,9,0.889,33,0.303,37,0.324,0.4,0.433,5.8,1.7,2.3,0.3,0.4,1.3,7.5,8.1,9.8,7.7,91.7,114.7
,Isaiah Livers,Pho,*,F,27.3,7,10.7,9.2,6.5,3,1.0,2,1.0,12,0.25,0.464,0.522,2.3,1.3,0.6,0.3,0.4,0.1,3.6,2.9,4.1,4.5,126.9,113.1
,Jalen Pickett,Den,*,G,26.1,6,7.0,16.5,24.3,1,1.0,6,0.667,6,0.333,0.583,0.603,2.5,1.0,1.2,0.0,0.0,0.7,3.5,3.7,4.7,8.2,108.8,107.0
,Julian Strawther,Den,*,G,23.6,9,7.9,23.1,9.0,13,0.692,14,0.643,16,0.125,0.4,0.462,3.7,1.6,0.4,0.0,0.1,0.3,5.2,4.1,5.7,6.7,96.3,105.8
,Zeke Nnaji,Den,*,F-C,24.9,6,3.6,20.5,21.5,3,0.667,3,1.0,4,0.25,0.643,0.661,1.8,0.3,0.3,0.0,0.0,0.3,2.2,2.2,2.5,6.1,0.0,0.0
,DaRon Holmes II,Den,*,F,23.3,2,2.2,9.6,0.0,0,0.0,0,0.0,1,1.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0
,Mark Sears,Mil,*,G,23.7,5,4.2,33.8,30.0,8,0.75,4,0.5,5,0.6,0.722,0.759,3.8,0.2,0.2,0.0,0.0,0.8,4.0,4.0,4.2,5.1,112.7,113.7
,De'Andre Hunter,Cle,*,F-G,28.0,11,29.1,24.4,10.4,49,0.837,79,0.595,75,0.28,0.51,0.564,18.0,4.7,3.1,0.7,0.3,1.6,22.7,21.1,25.8,8.8,114.2,109.5
,Liam McNeeley,Cha,*,F,20.1,9,12.5,15.0,14.5,15,0.867,11,0.273,18,0.333,0.414,0.52,4.1,1.9,1.2,0.2,0.1,0.6,6.0,5.3,7.2,6.7,115.0,110.4
